2025-03-30 16:54:27; CRITICAL; User Session Main; 7200; 2716] WMain Begin
2025-03-30 16:54:27; CRITICAL; User Session Main; 7200; 2716] Before manager initializing
2025-03-30 16:54:27; CRITICAL; User Session Manager; 7200; 2716] /------------User Session Helper start to initialize------------/
2025-03-30 16:54:27; CRITICAL; User Session Manager; 7200; 2716] /------------User Session Helper initialized: 0x00000000------------/
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN Start
2025-03-30 16:54:27; INFO; AEF Core; 7200; 9172] Loaded library v5.2.6.0 successfully in ush
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN End
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN Start
2025-03-30 16:54:27; INFO; SoulKey Plugin; 7200; 9172] Loaded library v5.2.0.0 successfully in ush
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN End
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN Start
2025-03-30 16:54:27; INFO; GameBoxPlugIn; 7200; 9172] Loaded library v5.9.8.0 successfully in ush
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN End
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN Start
2025-03-30 16:54:27; INFO; DeviceServicePlugin; 7200; 9172] Loaded library v5.2.6.0 successfully in ush
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN End
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN Start
2025-03-30 16:54:27; INFO; Aura Pluing; 7200; 9172] Loaded library v5.2.9.0 successfully in ush
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN End
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN Start
2025-03-30 16:54:27; INFO; Loopback Stream; 7200; 9172] Loaded library v5.1.2.0 successfully in ush
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN End
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN Start
2025-03-30 16:54:27; INFO; ACStore Plugin; 7200; 9172] Loaded library v5.2.6.0 successfully in ush
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN End
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN Start
2025-03-30 16:54:27; INFO; UserCenterPlugin; 7200; 9172] Loaded library v5.2.4.0 successfully in ush
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN End
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN Start
2025-03-30 16:54:27; INFO; AC_FDSPlugIn; 7200; 9172] Loaded library v5.4.7.0 successfully in ush
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN End
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-30 16:54:27; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN Start
2025-03-30 16:54:27; INFO; AC_FDSPlugIn; 7200; 3996] [ForegroundAppRecordHandle] ReadFile: 53F7C280-FBD0-412C-AF96-275A74270D8D
2025-03-30 16:54:27; INFO; AC_FDSPlugIn; 7200; 3996] [ForegroundAppRecordHandle] Read Cache size: 615
2025-03-30 16:54:28; INFO; Free Up Memory Plugin; 7200; 9172] Loaded library v5.2.6.0 successfully in ush
2025-03-30 16:54:28; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN End
2025-03-30 16:54:28; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-30 16:54:28; INFO; User Session Manager; 7200; 9172] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-30 16:54:28; INFO; User Session Manager; 7200; 9172] USH_COMMAND_JOIN Start
2025-03-30 16:54:28; INFO; DenoiseAI Pluing; 7200; 9172] Loaded library v5.2.0.1 successfully in ush
